position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Dunlap, Nick",-29,-2,1.454,-0.5,1.009,-0.321,0.188,3.994
2,"Bezuidenhout, Christiaan",-28,-7,1.841,0.231,2.04,-0.307,1.965,3.22
T3,"Thomas, Justin",-27,-4,1.277,1.117,1.185,0.727,3.029,2.97
T3,"Schauffele, Xander",-27,-7,2.543,1.512,0.442,0.309,2.262,2.97
T3,"Yu, Kevin",-27,-9,0.12,1.322,2.026,1.173,4.521,3.494
T6,"Burns, Sam",-25,-1,1.957,0.027,-0.467,-0.711,-1.151,2.47
T6,"Kim, Michael",-25,-7,0.828,0.354,0.676,-0.553,0.477,2.47
T6,"Hadwin, Adam",-25,-5,0.836,0.222,0.665,1.421,2.306,2.994
T9,"Griffin, Ben",-24,-6,4.644,-0.243,0.105,-0.701,-0.839,2.22
T9,"Mitchell, Keith",-24,-10,0.629,-0.212,3.405,0.821,4.013,2.744
T11,"Poston, J.T.",-23,-3,0.924,-0.816,-0.166,0.341,-0.64,2.556
T11,"Hisatsune, Ryo",-23,-7,1.332,1.365,-0.606,0.213,0.973,1.97
T11,"Bjork, Alexander",-23,-5,0.17,1.248,1.642,-1.254,1.635,1.97
T14,"Burgoon, Bronson",-22,-5,-2.661,0.835,3.379,0.731,4.945,2.306
T14,"Kim, Chan",-22,-5,2.032,-0.722,0.468,0.363,0.11,2.244
T14,"Stanger, Jimmy",-22,-3,2.578,0.246,-0.903,-0.279,-0.935,2.244
T17,"Hoge, Tom",-21,-7,2.117,-0.484,1.549,0.623,1.688,1.47
T17,"Scheffler, Scottie",-21,-7,-0.61,0.533,1.667,0.216,2.415,1.47
T17,"Sigg, Greyson",-21,-7,3.941,-0.45,1.549,-0.235,0.864,1.47
T17,"Young, Carson",-21,-7,0.351,0.582,2.418,0.933,3.932,2.056
T21,"Lee, Min Woo",-20,-5,-0.196,2.898,-1.087,1.026,2.838,1.744
T21,"Cole, Eric",-20,0,-1.109,1.152,-1.446,-1.313,-1.607,1.806
T21,"Smalley, Alex",-20,-5,0.532,-1.014,1.132,0.49,0.609,1.744
T21,"Thompson, Davis",-20,-4,0.325,-0.736,2.021,0.196,1.481,1.22
T25,"Noren, Alex",-19,-2,-0.157,-0.352,0.213,-0.398,-0.537,0.97
T25,"Kim, Si Woo",-19,1,-0.99,-1.179,0.733,0.741,0.295,0.97
T25,"Finau, Tony",-19,-5,0.091,0.743,0.452,0.52,1.714,0.97
T25,"Im, Sungjae",-19,-1,0.558,-0.429,-0.47,0.483,-0.417,1.494
T25,"Lee, Kyounghoon",-19,-6,0.77,-0.804,-0.093,-1.07,-1.966,0.97
T25,"Van Rooyen, Erik",-19,-5,-0.504,-0.169,1.667,-0.188,1.31,0.97
T25,"Eckroat, Austin",-19,-6,1.351,0.655,0.958,0.677,2.292,1.494
T25,"Johnson, Zach",-19,-2,1.608,-0.223,-1.838,0.259,-1.802,0.97
T25,"Phillips, Chandler",-19,-6,0.812,0.43,2.886,-0.844,2.471,1.556
T34,"Day, Jason",-18,-4,-0.601,0.496,0.179,0.731,1.405,0.72
T34,"Zalatoris, Will",-18,-4,0.241,0.334,0.511,0.198,1.042,1.306
T34,"Duncan, Tyler",-18,-3,-0.848,0.316,0.444,0.372,1.131,1.306
T34,"Whaley, Vince",-18,-3,0.296,0.689,0.063,0.258,1.009,0.72
T34,"Highsmith, Joe",-18,-2,-0.445,0.657,-0.518,-0.053,0.087,1.244
T39,"Berger, Daniel",-17,-4,-0.65,-0.472,1.599,0.807,1.934,1.056
