player_name,Actual Strokes,r4,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
"Scheffler, Scottie",277,-4,0.46,1.97,0.78,1.37,4.12,4.57
"Åberg, Ludvig",281,-3,2.00,-0.57,0.88,1.27,1.57,3.57
"Fleetwood, Tommy",284,-3,0.58,0.72,0.99,0.53,2.24,2.82
"Morikawa, Collin",284,2,0.85,0.15,1.35,0.48,1.98,2.82
"Homa, Max",284,1,0.70,0.52,1.07,0.53,2.12,2.82
"Smith, Cameron",286,-1,1.06,1.51,-0.09,-0.16,1.26,2.32
"DeChambeau, Bryson",286,1,0.41,-0.28,0.50,1.70,1.91,2.32
"Schauffele, Xander",287,1,0.41,0.27,1.23,0.17,1.67,2.07
"Hatton, Tyrrell",288,-3,0.12,1.12,0.40,0.19,1.71,1.82
"Zalatoris, Will",288,-3,-0.46,0.46,1.27,0.55,2.28,1.82
"Young, Cameron",288,1,0.75,-0.71,0.57,1.21,1.07,1.82
"Reed, Patrick",289,E,0.95,1.18,0.02,-0.58,0.62,1.57
"Davis, Cameron",289,3,0.76,-0.23,0.90,0.14,0.81,1.57
"Schenk, Adam",289,1,0.51,0.28,0.41,0.38,1.06,1.57
"Pavon, Matthieu",289,E,0.26,0.68,-0.40,1.04,1.32,1.57
"Kirk, Chris",290,1,0.97,-0.15,0.65,-0.14,0.35,1.32
"An, Byeong Hun",290,3,-0.97,0.96,0.45,0.87,2.29,1.32
"Straka, Sepp",290,E,-0.47,0.07,0.94,0.79,1.80,1.32
"Højgaard, Nicolai",290,4,0.51,0.99,-0.41,0.23,0.81,1.32
"Glover, Lucas",291,3,0.75,-0.52,0.67,0.17,0.32,1.07
"Moore, Taylor",291,-2,-0.04,0.67,0.09,0.35,1.11,1.07
"McIlroy, Rory",292,1,0.15,-0.39,0.09,0.97,0.67,0.82
"Fitzpatrick, Matt",292,3,1.62,-0.51,-0.65,0.36,-0.80,0.82
"Cantlay, Patrick",292,4,-0.68,0.37,0.98,0.15,1.50,0.82
"Niemann, Joaquin",292,1,-0.32,0.04,0.69,0.41,1.14,0.82
"Bradley, Keegan",292,-3,0.53,-0.54,1.18,-0.35,0.29,0.82
"English, Harris",292,-1,0.12,0.78,-0.21,0.13,0.70,0.82
"Lee, Min Woo",292,-3,0.00,-0.63,0.14,1.32,0.82,0.82
"Scott, Adam",292,E,0.15,0.26,0.98,-0.57,0.67,0.82
"Day, Jason",293,-3,0.28,1.00,-0.18,-0.53,0.29,0.57
"Fowler, Rickie",293,E,0.19,0.72,0.69,-1.02,0.39,0.57
"Poston, J.T.",293,-2,-0.01,0.30,-0.11,0.38,0.58,0.57
"Kim, Si Woo",293,-2,0.08,0.16,-0.57,0.91,0.49,0.57
"Kim, Tom",293,-6,-0.56,-0.12,1.43,-0.18,1.13,0.57
"Villegas, Camilo",294,-3,0.81,0.83,0.24,-1.56,-0.49,0.32
"Kitayama, Kurt",294,-4,-0.16,0.04,-0.15,0.59,0.48,0.32
"Bhatia, Akshay",294,1,0.19,1.07,-1.21,0.27,0.13,0.32
"Matsuyama, Hideki",295,2,0.14,0.26,-0.47,0.15,-0.06,0.07
"Conners, Corey",295,1,0.32,-0.51,0.59,-0.32,-0.25,0.07
"List, Luke",295,2,-0.03,0.77,0.20,-0.87,0.10,0.07
"Henley, Russell",295,-1,0.10,0.24,-0.16,-0.11,-0.03,0.07
"Fox, Ryan",295,3,-0.40,0.77,-0.77,0.48,0.47,0.07
"Mickelson, Phil",296,2,0.57,-0.56,0.43,-0.63,-0.75,-0.18
"Lowry, Shane",296,2,-1.95,-0.01,1.61,0.16,1.77,-0.18
"Rahm, Jon",297,4,-1.05,0.08,0.48,0.05,0.62,-0.43
"Koepka, Brooks",297,3,0.78,-1.09,-0.36,0.24,-1.21,-0.43
"Willett, Danny",297,6,-0.04,-0.68,0.70,-0.41,-0.39,-0.43
"McCarthy, Denny",297,-2,1.19,-0.74,-0.08,-0.79,-1.61,-0.43
"Theegala, Sahith",297,3,0.03,-0.68,-0.28,0.49,-0.46,-0.43
"Olazabal, Jose Maria",297,E,0.47,0.62,-0.04,-1.48,-0.90,-0.43
"Murray, Grayson",298,-2,-1.09,0.24,0.23,-0.06,0.41,-0.68
"Cole, Eric",299,1,-0.38,0.23,-0.42,-0.36,-0.55,-0.93
"Hadwin, Adam",300,-2,0.68,0.21,-1.52,-0.54,-1.85,-1.18
"Shipley, Neal",300,1,0.03,-0.17,-0.08,-0.96,-1.21,-1.18
"van Rooyen, Erik",301,4,0.05,-0.18,-0.38,-0.93,-1.48,-1.43
"Finau, Tony",301,8,-1.49,-1.27,-0.02,1.36,0.06,-1.43
"Knapp, Jake",301,1,-0.85,-0.74,0.35,-0.20,-0.58,-1.43
"Olesen, Thorbjørn",302,3,0.67,-1.36,-0.83,-0.16,-2.35,-1.68
"Singh, Vijay",302,E,-0.51,-0.01,-0.48,-0.67,-1.17,-1.68
"Woods, Tiger",304,5,-0.97,0.36,-0.69,-0.88,-1.21,-2.18
