position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Murray, Grayson",-17,-3,0.69,0.504,0.467,1.278,2.248,2.938
T2,"An, Byeong Hun",-17,-6,0.856,0.531,0.143,1.409,2.082,2.938
T2,"Bradley, Keegan",-17,-3,1.147,0.538,0.847,0.406,1.79,2.938
T4,"Henley, Russell",-16,-7,0.743,1.361,0.343,0.241,1.946,2.688
T4,"Yuan, Carl",-16,-7,0.798,0.319,0.447,1.125,1.891,2.688
6,"Poston, J.T.",-15,-9,0.978,0.759,0.65,0.051,1.46,2.438
T7,"Taylor, Nick",-14,-5,0.793,0.13,1.576,-0.311,1.394,2.188
T7,"Grillo, Emiliano",-14,-4,2.222,-0.295,0.644,-0.383,-0.034,2.188
T7,"Pavon, Matthieu",-14,-3,0.78,-0.054,1.088,0.374,1.408,2.188
T10,"English, Harris",-13,-6,1.125,-0.186,0.128,0.871,0.813,1.938
T10,"Putnam, Andrew",-13,-6,1.589,0.622,-0.408,0.135,0.349,1.938
T10,"Pendrith, Taylor",-13,-5,1.279,0.063,0.719,-0.123,0.659,1.938
T13,"Hatton, Tyrrell",-12,-4,0.023,0.955,0.642,0.068,1.665,1.688
T13,"Kizzire, Patton",-12,-3,0.222,0.208,0.382,0.877,1.467,1.688
T13,"Cole, Eric",-12,-4,0.893,-0.426,0.342,0.879,0.795,1.688
T13,"Montgomery, Taylor",-12,-3,0.06,-0.269,1.786,0.11,1.628,1.688
T13,"Bhatia, Akshay",-12,-3,0.232,-0.436,1.203,0.689,1.456,1.688
T18,"Kirk, Chris",-11,0,-0.695,-0.821,1.946,1.009,2.133,1.438
T18,"Horschel, Billy",-11,-5,1.047,-0.027,0.173,0.246,0.391,1.438
T18,"Harman, Brian",-11,-3,1.929,0.246,0.061,-0.798,-0.491,1.438
T18,"Silverman, Ben",-11,0,0.511,0.961,0.022,-0.056,0.927,1.438
T18,"Jaeger, Stephan",-11,-2,0.862,0.131,-0.642,1.087,0.576,1.438
T18,"Wu, Brandon",-11,-3,0.097,0.005,0.898,0.439,1.341,1.438
T24,"Merritt, Troy",-10,0,0.371,0.664,0.547,-0.394,0.817,1.188
T24,"Rodgers, Patrick",-10,-4,0.844,0.236,-0.249,0.358,0.345,1.188
T24,"Cink, Stewart",-10,-1,1.207,0.203,-0.433,0.211,-0.019,1.188
T24,"McCarthy, Denny",-10,-4,2.034,0.122,-0.144,-0.824,-0.846,1.188
T24,"Kitayama, Kurt",-10,0,-0.066,0.459,0.712,0.084,1.254,1.188
T24,"Stevens, Samuel",-10,3,0.407,0.834,0.152,-0.204,0.781,1.188
T30,"Blair, Zac",-9,-2,-0.471,0.29,1.507,-0.389,1.408,0.938
T30,"Todd, Brendon",-9,-2,0.545,0.382,0.347,-0.336,0.393,0.938
T30,"Mitchell, Keith",-9,-3,-0.697,1.08,-0.398,0.952,1.635,0.938
T30,"Matsuyama, Hideki",-9,-4,-0.04,0.24,0.434,0.304,0.979,0.938
T30,"Davis, Cameron",-9,-1,1.77,-0.607,-0.113,-0.113,-0.833,0.938
T30,"Lee, Kyounghoon",-9,-2,-0.871,0.324,1.264,0.22,1.809,0.938
