player_name,total,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
"Matsuyama, Hideki",-17,1.07,1.46,0.51,0.28,2.25,3.33
"List, Luke",-14,1.67,-0.65,1.53,0.03,0.91,2.58
"Zalatoris, Will",-14,0.57,0.32,1.32,0.36,2.00,2.58
"Schauffele, Xander",-13,0.40,0.72,0.56,0.65,1.92,2.33
"Cantlay, Patrick",-13,1.54,-0.47,1.12,0.13,0.78,2.33
"Hadwin, Adam",-13,0.76,0.29,0.24,1.03,1.56,2.33
"English, Harris",-12,0.93,0.66,0.06,0.42,1.14,2.08
"Hoge, Tom",-11,0.21,-0.24,1.71,0.13,1.61,1.83
"Day, Jason",-9,-0.16,1.08,0.56,-0.16,1.49,1.33
"Fleetwood, Tommy",-8,1.05,-0.08,0.07,0.04,0.02,1.08
"Poston, J.T.",-8,0.20,1.18,-0.17,-0.13,0.87,1.08
"Scheffler, Scottie",-8,-1.09,1.75,-0.13,0.54,2.16,1.08
"Burns, Sam",-8,0.44,-0.12,-0.10,0.85,0.63,1.08
"Cole, Eric",-8,0.39,0.06,0.14,0.47,0.68,1.08
"Svensson, Adam",-8,-0.67,0.60,0.54,0.59,1.74,1.08
"Homa, Max",-7,0.79,-0.39,0.02,0.41,0.03,0.83
"An, Byeong Hun",-7,-0.94,0.75,0.80,0.21,1.76,0.83
"Young, Cameron",-7,-0.10,-0.97,0.93,0.96,0.92,0.83
"Scott, Adam",-6,0.63,-0.14,0.07,0.01,-0.05,0.58
"Morikawa, Collin",-6,0.41,-0.23,0.66,-0.27,0.16,0.58
"Hovland, Viktor",-6,0.08,-0.45,0.41,0.53,0.49,0.58
"Finau, Tony",-6,-0.90,-0.10,0.84,0.72,1.47,0.58
"Aberg, Ludvig",-6,0.25,0.04,0.55,-0.27,0.32,0.58
"McIlroy, Rory",-5,0.20,-0.95,-0.27,1.34,0.12,0.33
"Henley, Russell",-5,-0.14,-0.25,0.84,-0.14,0.46,0.33
"Bezuidenhout, Christiaan",-5,0.73,-1.02,0.80,-0.19,-0.41,0.33
"Conners, Corey",-5,-0.80,-0.45,0.90,0.68,1.12,0.33
"Kim, Tom",-5,-0.57,0.34,0.31,0.25,0.89,0.33
"Hodges, Lee",-5,0.58,-0.39,-0.03,0.16,-0.26,0.33
"Hossler, Beau",-5,0.91,-0.25,-0.60,0.26,-0.58,0.33
"Power, Seamus",-4,0.38,0.66,-0.73,-0.23,-0.30,0.08
"Todd, Brendon",-4,0.80,0.68,-0.91,-0.50,-0.73,0.08
"Hughes, Mackenzie",-4,-0.16,1.62,-1.59,0.20,0.23,0.08
"Moore, Taylor",-4,-0.41,-0.41,1.57,-0.68,0.48,0.08
"Fowler, Rickie",-3,0.59,-0.38,-0.29,-0.09,-0.77,-0.17
"Glover, Lucas",-3,-0.99,0.63,0.04,0.15,0.81,-0.17
"Theegala, Sahith",-2,0.52,-0.13,-0.92,0.10,-0.95,-0.42
"Griffin, Ben",-2,0.31,0.20,-0.74,-0.21,-0.74,-0.42
"Woodland, Gary",-1,-0.30,-0.13,-0.61,0.36,-0.38,-0.67
"Taylor, Nick",-1,-0.46,0.07,0.38,-0.66,-0.22,-0.67
"Kitayama, Kurt",-1,-0.36,-0.93,0.79,-0.18,-0.32,-0.67
"McCarthy, Denny",-1,-0.12,0.55,-0.68,-0.42,-0.56,-0.67
"Hojgaard, Nicolai",-1,0.13,-0.27,0.17,-0.71,-0.81,-0.67
"Im, Sungjae",E,0.26,-0.14,-0.55,-0.50,-1.19,-0.92
"Kim, Si Woo",E,-0.25,-0.70,-0.07,0.09,-0.68,-0.92
"Harman, Brian",E,-0.20,0.34,-0.88,-0.19,-0.73,-0.92
"Grillo, Emiliano",E,0.57,-1.20,-0.38,0.08,-1.50,-0.92
"Putnam, Andrew",E,0.16,0.26,-0.49,-0.86,-1.09,-0.92
"Davis, Cameron",+2,-0.56,-0.51,-0.26,-0.10,-0.87,-1.42
"Hoffman, Charley",+4,-0.46,0.05,-0.96,-0.56,-1.47,-1.92
"Johnson, Chase",+5,-0.97,0.60,-1.43,-0.38,-1.21,-2.17
