position,player_name,score,thru,today,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Schauffele, Xander",-7,18,-7,0.66,2.22,3.91,0.13,6.26,6.92
T2,"Morikawa, Collin",-4,18,-4,1.07,0.25,1.79,0.81,2.85,3.92
T2,"Noren, Alex",-4,18,-4,-0.14,0.87,2.33,0.86,4.06,3.92
T2,"McIlroy, Rory",-4,15,-4,0.18,0.71,1.53,0.55,2.78,2.96
T5,"Thomas, Justin",-3,18,-3,0.26,0.82,1.38,0.45,2.66,2.92
T5,"Im, Sungjae",-3,18,-3,1.14,-0.18,0.28,1.67,1.78,2.92
T5,"Day, Jason",-3,18,-3,1.34,2.22,-0.67,0.02,1.58,2.92
T5,"Straka, Sepp",-3,18,-3,-0.21,0.85,1.31,0.97,3.13,2.92
T5,"Hodges, Lee",-3,18,-3,0.99,0.97,0.55,0.42,1.93,2.92
T5,"Henley, Russell",-3,18,-3,0.9,0.93,2.76,-1.67,2.02,2.92
T5,"Moore, Taylor",-3,16,-3,2.25,-0.54,1.34,0.15,0.95,3.2
T5,"Homa, Max",-3,15,-3,1.21,1.2,-0.85,0.39,0.75,1.96
T5,"Dunlap, Nick",-3,14,-3,1.38,0.16,-0.22,1.16,1.1,2.49
T14,"Spieth, Jordan",-2,18,-2,0.54,-0.43,0.3,1.51,1.37,1.92
T14,"Davis, Cameron",-2,17,-2,1.89,0.46,0.23,-0.69,0,1.88
T14,"Kuchar, Matt",-2,15,-2,4.09,0.94,-1.51,-0.71,-1.28,2.81
T17,"Woodland, Gary",-1,18,-1,-0.65,-0.3,1.31,0.56,1.57,0.92
T17,"McCarthy, Denny",-1,18,-1,2.41,-0.28,-1.1,-0.11,-1.49,0.92
T17,"Hoge, Tom",-1,18,-1,3.58,-0.88,-2.16,0.37,-2.66,0.92
T17,"Putnam, Andrew",-1,18,-1,0.14,-0.75,0.93,0.6,0.78,0.92
T17,"Kim, Si Woo",-1,18,-1,-1.05,0.02,1.41,0.54,1.97,0.92
T17,"Rodgers, Patrick",-1,18,-1,-1.33,0.85,-0.28,1.68,2.25,0.92
T17,"Bradley, Keegan",-1,18,-1,-0.67,1.27,0.89,-0.57,1.59,0.92
T17,"Kitayama, Kurt",-1,18,-1,0.59,-0.36,0.38,0.31,0.33,0.92
T17,"An, Byeong Hun",-1,18,-1,2.42,0.19,0.08,-1.77,-1.51,0.92
T17,"Murray, Grayson",-1,18,-1,0.25,-0.23,1.85,-0.95,0.67,0.92
T17,"Simpson, Webb",-1,18,-1,0.64,1.86,-1.31,-0.27,0.28,0.92
T17,"Zalatoris, Will",-1,18,-1,-0.32,0.62,0.29,0.33,1.24,0.92
T17,"Burns, Sam",-1,17,-1,0.52,-0.94,0.62,0.33,0.01,0.53
T17,"English, Harris",-1,17,-1,2.37,-1.27,-0.54,-0.03,-1.84,0.53
T17,"Glover, Lucas",-1,17,-1,-1.6,1.13,0.72,0.63,2.48,0.88
T17,"Hovland, Viktor",-1,16,-1,1.17,-1.46,1.42,-0.94,-0.97,0.2
T17,"Conners, Corey",-1,15,-1,-0.92,-0.81,-0.07,1.76,0.88,-0.04
T34,"Pendrith, Taylor",0,18,0,0.83,-1.22,-0.69,1,-0.91,-0.08
T34,"Fowler, Rickie",0,18,0,0.89,-0.57,0.97,-1.37,-0.97,-0.08
T34,"Young, Cameron",0,18,0,0.73,-1.45,-1.1,1.75,-0.81,-0.08
T34,"Knapp, Jake",0,18,0,0.65,1.21,-1.84,-0.1,-0.73,-0.08
T34,"Scott, Adam",0,18,0,0.48,-0.44,1.24,-1.36,-0.56,-0.08
T34,"Kohles, Ben",0,18,0,0.34,-0.63,0.34,-0.14,-0.42,-0.08
T34,"Fleetwood, Tommy",0,16,0,-1.49,-0.33,1.44,0.58,1.69,0.2
T34,"Kim, Tom",0,16,0,-0.04,0.4,-0.21,-0.95,-0.76,-0.8
T34,"Taylor, Nick",0,16,0,-1.09,2.11,-1.08,0.25,1.29,0.2
T34,"Hadwin, Adam",0,16,0,-1.01,0.69,0.09,0.43,1.21,0.2
T34,"Bezuidenhout, Christiaan",0,15,0,0.19,-0.14,1.04,-0.27,0.63,0.81
T45,"Todd, Brendon",1,18,1,1.56,-0.92,-0.18,-1.54,-2.64,-1.08
T45,"Schenk, Adam",1,18,1,1.29,-2.06,0.29,-0.6,-2.37,-1.08
T45,"Power, Seamus",1,18,1,0.29,-0.99,0.1,-0.49,-1.37,-1.08
T45,"Finau, Tony",1,16,1,-0.49,0.23,-1.11,0.56,-0.31,-0.8
